2017102308,nba.g.1947112,nba.t.8,nba.t.20,https://sports.yahoo.com/nba/philadelphia-76ers-detroit-pistons-2017102308/,Mon, 23 Oct 2017 23:00:00,4620
2017102314,nba.g.1947796,nba.t.14,nba.t.1,https://sports.yahoo.com/nba/atlanta-hawks-miami-heat-2017102314/,Mon, 23 Oct 2017 23:30:00,4620
2017102310,nba.g.1947678,nba.t.10,nba.t.29,https://sports.yahoo.com/nba/memphis-grizzlies-houston-rockets-2017102310/,Tue, 24 Oct 2017 00:00:00,4620
2017102315,nba.g.1948107,nba.t.15,nba.t.30,https://sports.yahoo.com/nba/charlotte-hornets-milwaukee-bucks-2017102315/,Tue, 24 Oct 2017 00:00:00,4620
2017102306,nba.g.1947718,nba.t.6,nba.t.9,https://sports.yahoo.com/nba/golden-state-warriors-dallas-mavericks-2017102306/,Tue, 24 Oct 2017 00:30:00,4620
2017102324,nba.g.1948176,nba.t.24,nba.t.28,https://sports.yahoo.com/nba/toronto-raptors-san-antonio-spurs-2017102324/,Tue, 24 Oct 2017 00:30:00,4620
2017102307,nba.g.1947856,nba.t.7,nba.t.27,https://sports.yahoo.com/nba/washington-wizards-denver-nuggets-2017102307/,Tue, 24 Oct 2017 01:00:00,4620
2017102321,nba.g.1947256,nba.t.21,nba.t.23,https://sports.yahoo.com/nba/sacramento-kings-phoenix-suns-2017102321/,Tue, 24 Oct 2017 02:00:00,4620
2017102310,nba.g.1947678,nba.t.10,nba.t.29,https://sports.yahoo.com/nba/memphis-grizzlies-houston-rockets-2017102310/,Tue, 24 Oct 2017 00:00:00,4621
2017102315,nba.g.1948107,nba.t.15,nba.t.30,https://sports.yahoo.com/nba/charlotte-hornets-milwaukee-bucks-2017102315/,Tue, 24 Oct 2017 00:00:00,4621
2017102306,nba.g.1947718,nba.t.6,nba.t.9,https://sports.yahoo.com/nba/golden-state-warriors-dallas-mavericks-2017102306/,Tue, 24 Oct 2017 00:30:00,4621
2017102324,nba.g.1948176,nba.t.24,nba.t.28,https://sports.yahoo.com/nba/toronto-raptors-san-antonio-spurs-2017102324/,Tue, 24 Oct 2017 00:30:00,4621
2017102307,nba.g.1947856,nba.t.7,nba.t.27,https://sports.yahoo.com/nba/washington-wizards-denver-nuggets-2017102307/,Tue, 24 Oct 2017 01:00:00,4621
2017102321,nba.g.1947256,nba.t.21,nba.t.23,https://sports.yahoo.com/nba/sacramento-kings-phoenix-suns-2017102321/,Tue, 24 Oct 2017 02:00:00,4621
2017102307,nba.g.1947856,nba.t.7,nba.t.27,https://sports.yahoo.com/nba/washington-wizards-denver-nuggets-2017102307/,Tue, 24 Oct 2017 01:00:00,4622
2017102321,nba.g.1947256,nba.t.21,nba.t.23,https://sports.yahoo.com/nba/sacramento-kings-phoenix-suns-2017102321/,Tue, 24 Oct 2017 02:00:00,4622
2017102405,nba.g.1947385,nba.t.5,nba.t.4,https://sports.yahoo.com/nba/chicago-bulls-cleveland-cavaliers-2017102405/,Tue, 24 Oct 2017 23:00:00,4626
2017102419,nba.g.1947509,nba.t.19,nba.t.17,https://sports.yahoo.com/nba/brooklyn-nets-orlando-magic-2017102419/,Tue, 24 Oct 2017 23:00:00,4626
2017102402,nba.g.1947136,nba.t.2,nba.t.18,https://sports.yahoo.com/nba/new-york-knicks-boston-celtics-2017102402/,Tue, 24 Oct 2017 23:30:00,4626
2017102416,nba.g.1947842,nba.t.16,nba.t.11,https://sports.yahoo.com/nba/indiana-pacers-minnesota-timberwolves-2017102416/,Wed, 25 Oct 2017 00:00:00,4626
2017102422,nba.g.1947434,nba.t.22,nba.t.3,https://sports.yahoo.com/nba/new-orleans-pelicans-portland-trail-blazers-2017102422/,Wed, 25 Oct 2017 02:00:00,4626
2017102412,nba.g.1948002,nba.t.12,nba.t.26,https://sports.yahoo.com/nba/utah-jazz-los-angeles-clippers-2017102412/,Wed, 25 Oct 2017 02:30:00,4626
2017102416,nba.g.1947842,nba.t.16,nba.t.11,https://sports.yahoo.com/nba/indiana-pacers-minnesota-timberwolves-2017102416/,Wed, 25 Oct 2017 00:00:00,4627
2017102422,nba.g.1947434,nba.t.22,nba.t.3,https://sports.yahoo.com/nba/new-orleans-pelicans-portland-trail-blazers-2017102422/,Wed, 25 Oct 2017 02:00:00,4627
2017102412,nba.g.1948002,nba.t.12,nba.t.26,https://sports.yahoo.com/nba/utah-jazz-los-angeles-clippers-2017102412/,Wed, 25 Oct 2017 02:30:00,4627
2017102422,nba.g.1947434,nba.t.22,nba.t.3,https://sports.yahoo.com/nba/new-orleans-pelicans-portland-trail-blazers-2017102422/,Wed, 25 Oct 2017 02:00:00,4628
2017102412,nba.g.1948002,nba.t.12,nba.t.26,https://sports.yahoo.com/nba/utah-jazz-los-angeles-clippers-2017102412/,Wed, 25 Oct 2017 02:30:00,4628
2017102508,nba.g.1947113,nba.t.8,nba.t.16,https://sports.yahoo.com/nba/minnesota-timberwolves-detroit-pistons-2017102508/,Wed, 25 Oct 2017 23:00:00,4637
